Date,Festival/Event,Season,Special Day Type,Location,Customer Segment,Top Purchased Items,Total Sale Value (₹),Estimated Profit (₹),Demand Level (1-10),Discount Sensitivity (1-10)
2024-05-10,Holi,Winter,Wedding Season,Kolkata,Low Income,"Sugar, Colors, Rice, Atta",952.72,104.21,9,2
2023-09-17,Diwali,Summer,Wedding Season,Patna,Low Income,"Sugar, Fruits, Eggs",1354.61,259.42,9,9
2024-09-17,Republic Day,Winter,Normal Day,Lucknow,Low Income,"Sugar, Bread, Milk",1630.96,132.05,4,6
2024-01-13,Christmas,Winter,Salary Day,Lucknow,Families,"Cake, Milk, Eggs, Oil, Chocolates",1841.23,387.12,10,2
2024-08-12,Republic Day,Winter,Weekend,Kolkata,Retail Bulk,"Vegetables, Eggs, Atta",1817.89,295.41,8,5
2023-01-08,Christmas,Winter,Exam Season,Bangalore,Low Income,"Cake, Atta, Bread, Vegetables, Chocolates",555.73,100.89,6,3
2024-02-22,Makar Sankranti,Summer,Weekend,Jaipur,Students,"Vegetables, Fruits, Atta",1640.6,195.08,4,4
2023-07-01,Navratri,Monsoon,Normal Day,Chennai,Upper Middle,"Vegetables, Rice, Oil",766.14,172.78,5,5
2023-02-20,Eid,Monsoon,Weekend,Bangalore,Families,"Milk, Dates, Eggs, Oil",1058.13,134.7,5,7
2024-06-05,Makar Sankranti,Monsoon,School Opening,Lucknow,Low Income,"Vegetables, Sugar, Bread",1148.63,218.93,8,6
2023-02-20,Diwali,Monsoon,School Opening,Jaipur,Students,"Eggs, Milk, Oil",1591.46,360.32,4,3
2023-06-27,Eid,Summer,Normal Day,Chennai,Families,"Sugar, Rice, Dates, Atta",1794.52,194.22,6,9
2024-03-02,Onam,Summer,Weekend,Kolkata,Retail Bulk,"Vegetables, Atta, Oil",816.46,139.94,4,7
2024-05-18,Christmas,Summer,Normal Day,Bangalore,Retail Bulk,"Cake, Milk, Oil, Rice, Chocolates",1329.8,165.1,5,6
2023-07-26,None,Monsoon,Exam Season,Delhi,Low Income,"Vegetables, Fruits, Oil",591.26,122.8,8,2
2024-01-26,Christmas,Monsoon,Normal Day,Chennai,Retail Bulk,"Cake, Eggs, Oil, Vegetables, Chocolates",271.55,56.9,7,7
2023-07-11,Makar Sankranti,Summer,Normal Day,Chennai,Upper Middle,"Fruits, Milk, Atta",860.93,91.15,8,5
2024-08-11,Raksha Bandhan,Summer,Weekend,Bangalore,Upper Middle,"Sweets, Sugar, Milk, Rakhi, Bread",1970.04,271.47,7,6
2023-03-07,Makar Sankranti,Winter,Normal Day,Patna,Upper Middle,"Sugar, Bread, Fruits",1188.33,258.78,9,7
2024-08-11,Independence Day,Winter,Exam Season,Kolkata,Middle Class,"Fruits, Hand bands, Flags, Vegetables, Eggs",1322.9,214.25,10,9
2023-09-12,Navratri,Monsoon,Normal Day,Patna,Families,"Sugar, Milk, Atta",568.69,132.92,9,7
2023-01-11,None,Winter,Wedding Season,Jaipur,Families,"Eggs, Milk, Oil",1845.66,254.7,8,4
2024-02-17,None,Winter,Exam Season,Jaipur,Middle Class,"Bread, Fruits, Atta",1544.46,236.51,7,7
2024-06-13,Diwali,Monsoon,School Opening,Kolkata,Students,"Vegetables, Bread, Oil",1162.67,193.07,6,8
2023-05-05,Navratri,Winter,Normal Day,Kolkata,Low Income,"Milk, Bread, Eggs",101.85,17.66,9,3
2024-10-18,Eid,Winter,Normal Day,Lucknow,Upper Middle,"Vegetables, Dates, Milk, Eggs",1637.5,129.22,4,4
2024-11-03,Makar Sankranti,Monsoon,Salary Day,Kolkata,Families,"Bread, Rice, Oil",209.14,49.32,8,6
2024-01-16,None,Summer,Normal Day,Chennai,Middle Class,"Vegetables, Sugar, Atta",1229.88,128.28,5,4
2024-03-17,Raksha Bandhan,Winter,School Opening,Bangalore,Low Income,"Sweets, Milk, Fruits, Rakhi, Eggs",378.71,76.48,8,4
2023-07-05,Navratri,Winter,Normal Day,Bangalore,Low Income,"Rice, Fruits, Oil",1079.27,263.02,6,9
2023-04-26,Eid,Monsoon,Exam Season,Chennai,Upper Middle,"Fruits, Dates, Eggs, Oil",612.91,97.63,10,4
2024-07-02,Makar Sankranti,Summer,Wedding Season,Kolkata,Middle Class,"Fruits, Rice, Milk",569.08,100.84,8,6
2024-06-26,None,Monsoon,Normal Day,Lucknow,Families,"Oil, Milk, Atta",105.37,14.25,9,4
2024-11-25,Navratri,Winter,Weekend,Mumbai,Families,"Bread, Rice, Milk",1314.81,203.58,7,6
2023-01-19,Holi,Monsoon,School Opening,Patna,Low Income,"Atta, Colors, Fruits, Oil",88.09,12.72,6,4
2024-10-15,Makar Sankranti,Winter,Salary Day,Lucknow,Retail Bulk,"Milk, Rice, Fruits",578.94,56.92,8,4
2024-05-24,Makar Sankranti,Winter,School Opening,Kolkata,Students,"Fruits, Milk, Oil",1555.07,87.67,8,6
2024-03-22,Makar Sankranti,Monsoon,Weekend,Bangalore,Middle Class,"Vegetables, Bread, Eggs",1307.35,125.85,4,8
2023-04-02,Raksha Bandhan,Winter,Exam Season,Lucknow,Students,"Sweets, Sugar, Atta, Rakhi, Vegetables",947.95,132.9,10,9
2024-04-20,Independence Day,Winter,Exam Season,Chennai,Families,"Fruits, Milk, Hand bands, Flags, Rice",1691.65,329.85,9,5
2024-08-04,Raksha Bandhan,Monsoon,Normal Day,Delhi,Upper Middle,"Sweets, Sugar, Milk, Rakhi, Rice",58.85,14.06,8,7
2024-11-15,Makar Sankranti,Winter,School Opening,Delhi,Families,"Vegetables, Bread, Milk",697.19,151.1,4,4
2023-02-18,Christmas,Summer,Wedding Season,Chennai,Retail Bulk,"Cake, Eggs, Rice, Vegetables, Chocolates",1422.75,90.92,4,8
2023-09-29,Makar Sankranti,Monsoon,School Opening,Jaipur,Families,"Bread, Milk, Oil",128.98,12.0,7,4
2024-10-25,Diwali,Monsoon,Wedding Season,Delhi,Students,"Vegetables, Sugar, Fruits",1603.51,395.63,6,4
2024-08-18,Holi,Summer,Salary Day,Jaipur,Low Income,"Bread, Colors, Milk, Atta",620.27,94.39,4,5
2024-02-02,None,Winter,Wedding Season,Mumbai,Middle Class,"Sugar, Bread, Milk",58.32,11.71,7,5
2023-12-20,Independence Day,Summer,Exam Season,Chennai,Families,"Fruits, Atta, Hand bands, Flags, Eggs",828.85,154.86,7,4
2023-05-25,Christmas,Winter,Exam Season,Mumbai,Low Income,"Sugar, Cake, Atta, Bread, Chocolates",217.68,33.05,6,8
2024-11-02,Raksha Bandhan,Summer,Wedding Season,Patna,Upper Middle,"Sweets, Milk, Atta, Rakhi, Vegetables",82.99,17.63,7,6
2023-06-12,Navratri,Summer,School Opening,Jaipur,Upper Middle,"Sugar, Milk, Atta",274.78,16.73,8,7
2024-12-18,Christmas,Summer,Wedding Season,Kolkata,Families,"Sugar, Cake, Milk, Fruits, Chocolates",1905.55,134.47,6,7
2023-11-02,Raksha Bandhan,Winter,Salary Day,Kolkata,Families,"Sweets, Fruits, Oil, Rakhi, Eggs",1843.97,196.3,9,8
2024-08-02,Independence Day,Monsoon,Wedding Season,Chennai,Retail Bulk,"Fruits, Atta, Hand bands, Flags, Rice",1819.5,239.65,4,3
2023-02-23,Navratri,Winter,Wedding Season,Chennai,Low Income,"Vegetables, Sugar, Fruits",1759.14,167.66,5,4
2024-06-19,Eid,Winter,Weekend,Delhi,Middle Class,"Oil, Dates, Milk, Atta",626.84,40.08,4,3
2023-11-07,None,Winter,Weekend,Lucknow,Students,"Bread, Rice, Atta",65.93,14.88,8,8
2024-10-24,None,Winter,School Opening,Kolkata,Families,"Sugar, Fruits, Oil",1201.26,155.08,4,4
2023-10-25,Makar Sankranti,Winter,Normal Day,Kolkata,Low Income,"Vegetables, Rice, Milk",1312.54,68.21,8,3
2023-10-01,Christmas,Winter,Salary Day,Bangalore,Upper Middle,"Sugar, Cake, Fruits, Oil, Chocolates",332.89,39.53,6,7
2024-03-07,Navratri,Summer,Exam Season,Chennai,Middle Class,"Vegetables, Bread, Oil",1638.79,307.79,6,2
2023-12-30,Independence Day,Monsoon,Salary Day,Kolkata,Retail Bulk,"Atta, Hand bands, Flags, Vegetables, Eggs",517.5,121.58,10,9
2024-05-19,Independence Day,Winter,Wedding Season,Patna,Students,"Milk, Atta, Oil, Hand bands, Flags",192.04,35.51,8,9
2024-10-03,Makar Sankranti,Monsoon,Wedding Season,Patna,Students,"Bread, Eggs, Oil",1087.37,167.03,7,8
2023-10-15,Holi,Summer,Exam Season,Chennai,Low Income,"Sugar, Colors, Fruits, Atta",568.64,75.79,9,9
2024-11-17,Republic Day,Winter,School Opening,Bangalore,Retail Bulk,"Vegetables, Bread, Oil",870.3,47.84,5,5
2024-12-26,Christmas,Winter,Exam Season,Patna,Middle Class,"Cake, Milk, Atta, Rice, Chocolates",1924.92,310.35,9,2
2024-01-01,Diwali,Winter,Wedding Season,Lucknow,Low Income,"Vegetables, Fruits, Eggs",199.74,11.87,7,4
2023-07-05,Onam,Winter,Exam Season,Bangalore,Families,"Milk, Rice, Fruits",1769.71,184.32,7,9
2023-01-04,Eid,Summer,School Opening,Bangalore,Retail Bulk,"Sugar, Dates, Milk, Atta",677.2,134.85,7,3
2023-10-01,Christmas,Winter,School Opening,Bangalore,Upper Middle,"Cake, Milk, Eggs, Rice, Chocolates",998.72,86.5,9,6
2024-07-30,Christmas,Winter,Normal Day,Patna,Low Income,"Cake, Milk, Atta, Vegetables, Chocolates",341.65,45.88,8,2
2024-11-04,Independence Day,Monsoon,Normal Day,Kolkata,Upper Middle,"Sugar, Atta, Hand bands, Flags, Eggs",491.11,104.09,10,7
2024-03-23,Independence Day,Winter,Salary Day,Jaipur,Families,"Sugar, Atta, Hand bands, Flags, Eggs",1463.63,209.91,9,9
2024-12-22,Navratri,Monsoon,School Opening,Mumbai,Low Income,"Sugar, Bread, Fruits",1598.06,325.56,7,9
2024-04-30,Independence Day,Summer,Wedding Season,Mumbai,Retail Bulk,"Fruits, Oil, Hand bands, Flags, Vegetables",893.63,154.05,7,2
2023-07-21,Independence Day,Winter,Exam Season,Kolkata,Low Income,"Milk, Hand bands, Flags, Vegetables, Eggs",110.8,16.76,8,6
2023-08-18,Makar Sankranti,Monsoon,School Opening,Jaipur,Students,"Oil, Rice, Atta",56.82,4.15,8,5
2023-11-24,Independence Day,Summer,Weekend,Delhi,Upper Middle,"Fruits, Hand bands, Flags, Rice, Vegetables",1638.24,243.69,9,2
2023-08-18,Makar Sankranti,Monsoon,Weekend,Patna,Low Income,"Vegetables, Bread, Fruits",1303.66,309.09,8,6
2024-09-15,Christmas,Summer,School Opening,Lucknow,Middle Class,"Cake, Milk, Atta, Rice, Chocolates",159.84,17.12,9,2
2023-07-05,None,Summer,School Opening,Kolkata,Middle Class,"Bread, Fruits, Atta",863.02,106.14,7,5
2024-03-19,Onam,Summer,Weekend,Kolkata,Retail Bulk,"Vegetables, Fruits, Eggs",1210.71,260.94,9,8
2024-06-11,Raksha Bandhan,Summer,Normal Day,Mumbai,Low Income,"Sweets, Fruits, Atta, Rakhi, Bread",77.3,9.62,4,7
2024-06-14,Holi,Summer,Wedding Season,Lucknow,Middle Class,"Sugar, Colors, Eggs, Oil",796.38,78.14,4,4
2023-01-29,Republic Day,Summer,Salary Day,Lucknow,Retail Bulk,"Sugar, Rice, Eggs",1996.05,240.1,5,8
2024-12-14,Christmas,Winter,Weekend,Lucknow,Retail Bulk,"Cake, Milk, Atta, Bread, Chocolates",1634.15,371.47,10,6
2024-07-02,Republic Day,Winter,Normal Day,Delhi,Students,"Fruits, Milk, Atta",900.0,72.17,4,7
2024-09-11,Raksha Bandhan,Summer,Wedding Season,Chennai,Upper Middle,"Sweets, Sugar, Milk, Rakhi, Bread",859.12,59.25,10,6
2023-09-07,Republic Day,Summer,Salary Day,Delhi,Families,"Rice, Eggs, Atta",1661.17,200.48,10,5
2024-07-06,Raksha Bandhan,Monsoon,Weekend,Delhi,Upper Middle,"Sweets, Sugar, Atta, Rakhi, Rice",849.1,127.92,6,2
2024-03-11,Makar Sankranti,Monsoon,Weekend,Bangalore,Students,"Vegetables, Fruits, Eggs",441.45,39.84,6,8
2024-01-26,Eid,Winter,School Opening,Patna,Students,"Bread, Dates, Eggs, Atta",286.21,66.38,5,8
2023-12-08,Raksha Bandhan,Monsoon,School Opening,Chennai,Low Income,"Sweets, Sugar, Oil, Rakhi, Eggs",261.08,60.46,10,8
2024-02-02,None,Monsoon,Weekend,Chennai,Students,"Oil, Bread, Atta",388.37,71.11,4,5
2023-05-02,Independence Day,Monsoon,Weekend,Kolkata,Middle Class,"Milk, Bread, Hand bands, Flags, Vegetables",1447.28,235.27,6,5
2024-04-15,Raksha Bandhan,Monsoon,Salary Day,Jaipur,Families,"Sweets, Sugar, Rakhi, Vegetables, Eggs",391.14,47.82,7,2
2024-06-26,Raksha Bandhan,Summer,Wedding Season,Bangalore,Students,"Sweets, Fruits, Rakhi, Bread, Eggs",1927.72,388.48,9,3
2023-02-06,Makar Sankranti,Monsoon,Normal Day,Kolkata,Students,"Milk, Rice, Fruits",580.83,79.3,7,3
2023-07-17,Eid,Winter,Weekend,Patna,Families,"Sugar, Bread, Dates, Atta",1334.17,112.81,8,3
2023-04-16,Onam,Winter,Salary Day,Bangalore,Upper Middle,"Vegetables, Rice, Milk",1175.04,143.74,7,9
2024-06-16,Makar Sankranti,Monsoon,Exam Season,Delhi,Middle Class,"Bread, Fruits, Milk",1906.6,245.27,4,8
2024-07-18,Raksha Bandhan,Monsoon,Wedding Season,Kolkata,Middle Class,"Sweets, Sugar, Oil, Rakhi, Rice",396.15,46.69,8,2
2024-06-06,Holi,Monsoon,Weekend,Delhi,Families,"Oil, Colors, Fruits, Atta",900.13,149.42,9,5
2023-02-05,Republic Day,Summer,Wedding Season,Jaipur,Retail Bulk,"Vegetables, Eggs, Oil",1207.9,149.3,8,6
2024-07-09,Christmas,Summer,Normal Day,Jaipur,Low Income,"Sugar, Cake, Fruits, Oil, Chocolates",1721.82,159.58,7,6
2024-09-02,Holi,Monsoon,Wedding Season,Delhi,Upper Middle,"Sugar, Colors, Milk, Eggs",546.16,123.74,8,9
2024-06-23,None,Summer,School Opening,Delhi,Upper Middle,"Vegetables, Fruits, Eggs",309.31,24.86,8,5
2023-03-19,Holi,Monsoon,Normal Day,Kolkata,Retail Bulk,"Vegetables, Bread, Colors, Atta",58.9,6.38,8,5
2023-10-06,Navratri,Summer,Exam Season,Chennai,Middle Class,"Milk, Eggs, Atta",470.96,37.76,10,7
2024-01-12,Raksha Bandhan,Summer,Normal Day,Chennai,Middle Class,"Sweets, Sugar, Atta, Rakhi, Bread",619.48,40.04,10,7
2024-07-22,Navratri,Summer,Weekend,Chennai,Upper Middle,"Vegetables, Atta, Oil",791.55,102.62,7,6
2023-11-16,Makar Sankranti,Summer,Exam Season,Delhi,Middle Class,"Atta, Milk, Oil",1907.75,463.0,10,8
2024-10-31,Makar Sankranti,Summer,Normal Day,Kolkata,Low Income,"Vegetables, Sugar, Bread",443.4,103.34,5,6
2023-05-27,Navratri,Monsoon,Exam Season,Delhi,Upper Middle,"Vegetables, Sugar, Fruits",196.23,32.49,4,9
2024-09-04,Onam,Summer,Exam Season,Chennai,Families,"Sugar, Rice, Fruits",132.6,29.75,6,2
2024-04-09,Independence Day,Winter,School Opening,Mumbai,Middle Class,"Fruits, Milk, Hand bands, Flags, Eggs",1695.53,167.86,7,5
2023-05-11,Holi,Monsoon,Normal Day,Kolkata,Students,"Bread, Colors, Milk, Oil",227.8,17.03,7,8
2024-07-27,Eid,Summer,Wedding Season,Chennai,Families,"Vegetables, Sugar, Milk, Dates",1950.19,108.23,9,7
2023-04-19,Onam,Winter,Wedding Season,Chennai,Low Income,"Bread, Fruits, Oil",1025.48,225.31,6,5
2024-09-27,Navratri,Monsoon,Salary Day,Chennai,Retail Bulk,"Rice, Milk, Atta",1326.65,167.45,10,9
2024-01-21,Eid,Winter,School Opening,Lucknow,Students,"Vegetables, Sugar, Milk, Dates",1753.32,206.66,8,8
2024-06-01,Makar Sankranti,Monsoon,Exam Season,Lucknow,Retail Bulk,"Vegetables, Bread, Eggs",1960.7,469.59,9,8
2023-12-07,Makar Sankranti,Summer,Exam Season,Lucknow,Low Income,"Sugar, Rice, Fruits",259.23,45.82,4,7
2023-02-28,Diwali,Summer,Wedding Season,Jaipur,Families,"Bread, Milk, Atta",1390.91,253.95,4,6
2024-07-26,Makar Sankranti,Summer,Weekend,Kolkata,Retail Bulk,"Sugar, Bread, Milk",262.69,56.54,10,7
2024-09-07,Makar Sankranti,Winter,School Opening,Bangalore,Low Income,"Oil, Bread, Atta",804.05,97.2,10,9
2024-09-16,Makar Sankranti,Winter,Weekend,Patna,Families,"Vegetables, Fruits, Eggs",1864.59,451.3,6,7
2023-02-10,Independence Day,Monsoon,School Opening,Delhi,Retail Bulk,"Milk, Bread, Hand bands, Flags, Vegetables",1344.13,132.46,9,2
2023-09-11,Independence Day,Summer,School Opening,Lucknow,Low Income,"Sugar, Oil, Bread, Hand bands, Flags",1835.65,257.92,9,2
2023-12-11,Navratri,Winter,Salary Day,Lucknow,Retail Bulk,"Sugar, Bread, Milk",123.68,23.73,6,5
2024-09-24,Eid,Monsoon,Normal Day,Lucknow,Families,"Bread, Dates, Milk, Oil",1212.0,282.38,8,4
2024-01-21,None,Summer,Exam Season,Lucknow,Students,"Rice, Fruits, Eggs",575.31,43.7,5,6
2023-01-27,Makar Sankranti,Summer,Normal Day,Lucknow,Upper Middle,"Sugar, Rice, Atta",260.55,23.64,10,5
2024-10-07,Holi,Winter,Weekend,Patna,Middle Class,"Vegetables, Bread, Colors, Oil",1633.68,108.66,9,2
2023-01-22,Navratri,Monsoon,Exam Season,Patna,Low Income,"Sugar, Fruits, Atta",620.45,93.47,10,8
2023-03-18,Raksha Bandhan,Monsoon,Salary Day,Patna,Middle Class,"Sweets, Milk, Rakhi, Rice, Eggs",1161.27,162.88,4,7
2024-11-09,Raksha Bandhan,Summer,Weekend,Bangalore,Students,"Sweets, Milk, Atta, Rakhi, Bread",1824.13,167.7,6,6
2024-12-02,Onam,Monsoon,School Opening,Jaipur,Families,"Vegetables, Rice, Milk",349.94,25.03,6,9
2024-09-11,None,Winter,Salary Day,Mumbai,Retail Bulk,"Vegetables, Fruits, Oil",695.5,66.7,10,3
2024-06-09,Republic Day,Summer,School Opening,Delhi,Low Income,"Vegetables, Bread, Oil",231.27,13.54,4,4
2023-09-07,Christmas,Monsoon,Salary Day,Patna,Middle Class,"Cake, Fruits, Eggs, Oil, Chocolates",1474.43,163.27,6,8
2023-12-23,Diwali,Monsoon,Salary Day,Kolkata,Middle Class,"Sugar, Bread, Eggs",469.0,99.61,9,5
2024-01-04,Holi,Winter,Exam Season,Mumbai,Upper Middle,"Sugar, Bread, Colors, Atta",71.82,8.64,7,5
2024-03-21,None,Winter,Weekend,Jaipur,Upper Middle,"Sugar, Bread, Oil",699.79,156.24,5,9
2023-03-29,Onam,Winter,Salary Day,Patna,Students,"Bread, Milk, Eggs",1737.87,408.83,5,7
2023-10-19,Holi,Summer,Exam Season,Delhi,Middle Class,"Fruits, Colors, Eggs, Oil",1454.15,139.85,8,9
2024-07-18,Navratri,Winter,Normal Day,Patna,Middle Class,"Vegetables, Eggs, Oil",1052.81,149.34,5,5
2024-10-02,Raksha Bandhan,Winter,Wedding Season,Jaipur,Middle Class,"Sweets, Atta, Rakhi, Bread, Vegetables",978.68,200.44,9,2
2023-09-08,Holi,Winter,Salary Day,Mumbai,Retail Bulk,"Sugar, Colors, Milk, Atta",821.02,48.6,10,7
2023-07-11,Republic Day,Winter,School Opening,Kolkata,Retail Bulk,"Fruits, Eggs, Oil",226.85,24.58,9,8
2023-03-08,Diwali,Winter,Normal Day,Mumbai,Middle Class,"Bread, Fruits, Oil",1192.01,126.49,4,6
2023-12-22,Holi,Monsoon,Wedding Season,Jaipur,Students,"Sugar, Bread, Rice, Colors",1480.3,221.22,5,3
2024-10-06,Holi,Winter,Normal Day,Delhi,Middle Class,"Vegetables, Colors, Fruits, Oil",1435.37,341.72,8,6
2023-01-05,Republic Day,Summer,School Opening,Delhi,Retail Bulk,"Vegetables, Sugar, Eggs",1721.21,254.81,5,3
2024-03-11,Navratri,Summer,School Opening,Jaipur,Retail Bulk,"Fruits, Rice, Milk",1280.52,91.58,8,8
2023-08-25,Diwali,Summer,Wedding Season,Kolkata,Retail Bulk,"Rice, Eggs, Oil",738.53,78.88,10,3
2023-06-02,Makar Sankranti,Monsoon,Exam Season,Mumbai,Retail Bulk,"Sugar, Rice, Oil",288.61,23.49,9,2
2024-02-12,None,Summer,Salary Day,Delhi,Upper Middle,"Sugar, Bread, Fruits",1237.09,278.34,6,8
2023-03-23,Onam,Summer,Weekend,Jaipur,Low Income,"Bread, Fruits, Atta",1735.48,210.57,5,4
2024-04-08,Eid,Winter,Weekend,Kolkata,Students,"Sugar, Dates, Milk, Atta",1610.69,117.34,9,3
2024-02-29,Onam,Monsoon,Salary Day,Jaipur,Low Income,"Vegetables, Eggs, Oil",1364.6,286.59,4,4
2024-09-24,Onam,Monsoon,Weekend,Kolkata,Families,"Sugar, Rice, Atta",78.2,15.96,10,5
2023-02-06,Diwali,Winter,Wedding Season,Jaipur,Students,"Vegetables, Fruits, Eggs",1632.48,214.13,6,5
2024-01-11,Diwali,Monsoon,Wedding Season,Chennai,Middle Class,"Sugar, Rice, Oil",1340.21,307.49,4,7
2023-07-02,Holi,Monsoon,Wedding Season,Patna,Upper Middle,"Milk, Colors, Fruits, Eggs",299.37,16.67,7,7
2024-08-08,Navratri,Monsoon,Salary Day,Lucknow,Low Income,"Sugar, Fruits, Atta",1639.72,293.42,4,2
2024-01-25,Diwali,Summer,Exam Season,Delhi,Families,"Bread, Fruits, Eggs",328.95,47.24,7,6
2023-05-06,None,Monsoon,Salary Day,Mumbai,Upper Middle,"Oil, Sugar, Atta",359.96,34.78,9,4
2024-04-03,None,Summer,Wedding Season,Delhi,Low Income,"Vegetables, Sugar, Fruits",1369.49,298.26,7,6
2024-08-24,Independence Day,Monsoon,Wedding Season,Patna,Retail Bulk,"Fruits, Oil, Bread, Hand bands, Flags",673.14,101.04,8,7
2024-06-23,Navratri,Summer,School Opening,Lucknow,Families,"Oil, Rice, Atta",381.91,72.4,7,4
2024-02-23,Makar Sankranti,Summer,Salary Day,Bangalore,Retail Bulk,"Rice, Eggs, Atta",230.27,23.47,4,2
2023-07-14,None,Summer,Salary Day,Delhi,Low Income,"Bread, Milk, Oil",1203.86,162.15,9,3
2023-07-05,Eid,Monsoon,Wedding Season,Jaipur,Students,"Oil, Rice, Dates, Atta",1361.42,326.75,10,6
2023-11-17,Independence Day,Winter,Wedding Season,Lucknow,Upper Middle,"Atta, Bread, Hand bands, Flags, Eggs",1923.52,367.71,10,6
2024-05-16,Republic Day,Monsoon,Wedding Season,Lucknow,Students,"Rice, Milk, Atta",558.13,84.45,7,2
2024-07-23,Onam,Winter,Wedding Season,Delhi,Families,"Vegetables, Milk, Oil",1101.01,172.71,5,3
2024-01-03,Christmas,Monsoon,Exam Season,Delhi,Middle Class,"Cake, Fruits, Eggs, Rice, Chocolates",1500.09,233.88,9,6
2024-01-04,Diwali,Monsoon,Exam Season,Chennai,Retail Bulk,"Vegetables, Sugar, Bread",1687.99,299.4,5,2
2023-11-10,Onam,Monsoon,Exam Season,Patna,Retail Bulk,"Vegetables, Sugar, Eggs",1861.34,292.63,8,9
2023-06-13,Raksha Bandhan,Monsoon,Wedding Season,Bangalore,Middle Class,"Sweets, Sugar, Rakhi, Bread, Eggs",1600.06,178.73,5,3
2024-06-24,Eid,Monsoon,Salary Day,Patna,Middle Class,"Vegetables, Rice, Milk, Dates",953.56,124.81,6,7
2023-10-18,Independence Day,Summer,Exam Season,Mumbai,Middle Class,"Fruits, Atta, Bread, Hand bands, Flags",1324.78,172.15,9,5
2024-05-04,Eid,Monsoon,School Opening,Bangalore,Families,"Bread, Dates, Milk, Eggs",590.55,125.8,8,4
2024-06-21,Raksha Bandhan,Monsoon,Weekend,Patna,Families,"Sweets, Fruits, Milk, Rakhi, Bread",964.72,89.82,5,9
2023-08-09,Makar Sankranti,Winter,Wedding Season,Lucknow,Students,"Vegetables, Bread, Milk",1096.67,198.69,4,5
2023-08-02,Christmas,Summer,Salary Day,Delhi,Upper Middle,"Sugar, Cake, Fruits, Bread, Chocolates",1284.16,283.1,10,4
2023-02-05,Christmas,Summer,School Opening,Jaipur,Retail Bulk,"Cake, Milk, Oil, Bread, Chocolates",1744.36,279.61,8,2
2023-08-17,Christmas,Winter,School Opening,Mumbai,Upper Middle,"Cake, Eggs, Rice, Vegetables, Chocolates",703.83,148.87,8,2
2023-06-07,Holi,Summer,School Opening,Delhi,Middle Class,"Vegetables, Sugar, Colors, Atta",685.62,121.97,5,8
2024-12-27,Independence Day,Winter,Exam Season,Lucknow,Families,"Bread, Hand bands, Flags, Vegetables, Eggs",1580.28,217.64,10,7
2023-10-21,Onam,Winter,School Opening,Mumbai,Middle Class,"Vegetables, Rice, Oil",940.36,59.42,7,2
2024-09-23,Diwali,Winter,Salary Day,Patna,Retail Bulk,"Bread, Rice, Oil",981.23,117.69,6,4
2024-02-07,None,Winter,Weekend,Mumbai,Upper Middle,"Vegetables, Eggs, Oil",1893.38,234.51,4,7
2024-08-21,Republic Day,Summer,Salary Day,Chennai,Retail Bulk,"Vegetables, Sugar, Rice",1248.93,207.16,9,8
2023-04-21,Raksha Bandhan,Summer,Exam Season,Mumbai,Upper Middle,"Sweets, Oil, Rakhi, Rice, Eggs",224.53,13.63,4,4
2024-03-21,Raksha Bandhan,Winter,Exam Season,Delhi,Students,"Sweets, Fruits, Atta, Oil, Rakhi",493.01,50.71,9,8
2024-09-18,Makar Sankranti,Summer,Salary Day,Delhi,Retail Bulk,"Sugar, Milk, Oil",1892.94,236.16,8,3
2023-12-22,Republic Day,Summer,Wedding Season,Jaipur,Middle Class,"Sugar, Bread, Atta",1517.62,101.54,9,8
2024-02-08,Holi,Monsoon,Normal Day,Mumbai,Students,"Oil, Colors, Eggs, Atta",629.82,149.88,6,8
2024-11-12,Holi,Monsoon,Salary Day,Patna,Low Income,"Fruits, Rice, Eggs, Colors",1990.15,375.57,9,6
2023-10-02,Makar Sankranti,Winter,Normal Day,Chennai,Upper Middle,"Oil, Milk, Atta",1133.62,247.84,10,9
2023-02-24,Independence Day,Monsoon,Wedding Season,Delhi,Retail Bulk,"Atta, Bread, Hand bands, Flags, Rice",763.74,39.14,4,8
2024-05-16,Holi,Winter,Salary Day,Patna,Retail Bulk,"Fruits, Colors, Eggs, Atta",264.03,65.28,4,4
2023-07-02,Navratri,Winter,Salary Day,Chennai,Low Income,"Vegetables, Rice, Fruits",1966.56,258.28,10,9
2024-05-05,Diwali,Winter,School Opening,Chennai,Students,"Bread, Milk, Oil",1363.27,263.83,7,6
2023-08-06,None,Winter,Wedding Season,Jaipur,Retail Bulk,"Bread, Rice, Milk",196.3,37.96,9,9
2023-07-15,Raksha Bandhan,Summer,Wedding Season,Delhi,Upper Middle,"Sweets, Sugar, Atta, Rakhi, Bread",999.18,190.73,10,4
2024-04-14,Navratri,Monsoon,Wedding Season,Jaipur,Families,"Vegetables, Fruits, Eggs",370.29,42.97,10,9
2024-10-29,Raksha Bandhan,Monsoon,Weekend,Jaipur,Upper Middle,"Sweets, Sugar, Oil, Rakhi, Bread",1083.6,251.31,4,9
2024-09-30,Republic Day,Summer,Normal Day,Mumbai,Students,"Bread, Rice, Atta",872.74,87.06,9,8
2024-10-09,Makar Sankranti,Winter,Exam Season,Lucknow,Middle Class,"Vegetables, Sugar, Bread",1557.94,194.11,8,5
